Trace name,ID,On time,Freq,Tags,Seconds
2012_04_25_0030,1,3758.2,,bout start; shock,3.7582
2012_04_25_0030,2,3778.68,48.8281,,3.77868
2012_04_25_0030,3,3812.75,29.3513,,3.81275
2012_04_25_0030,4,3841.89,34.3171,,3.84189
2012_04_25_0030,5,3871.09,34.2466,bout end,3.87109
2012_04_25_0031,1,1535.59,,bout start; shock,1.53559
2012_04_25_0031,2,1558.99,42.735,,1.55899
2012_04_25_0031,3,1584.13,39.7772,,1.58413
2012_04_25_0031,4,1613.45,34.1064,,1.61345
2012_04_25_0031,5,1643.77,32.9815,,1.64377
2012_04_25_0031,6,1672.21,35.1617,,1.67221
2012_04_25_0031,7,1700.79,34.9895,,1.70079
2012_04_25_0031,8,1738.65,26.4131,bout end,1.73865
2012_04_25_0031,9,2606.49,1.1523,bout start; shock,2.60649
2012_04_25_0031,10,2630.76,41.2031,,2.6307600000000004
2012_04_25_0031,11,2652.38,46.2535,,2.65238
2012_04_25_0031,12,2682.09,33.6587,,2.68209
2012_04_25_0031,13,2717.84,27.972,,2.7178400000000003
2012_04_25_0031,14,2750.26,30.8452,,2.7502600000000004
2012_04_25_0031,15,2787.11,27.137,,2.78711
2012_04_25_0031,16,2815.1,35.727,bout end,2.8151
2012_04_25_0031,17,2994.2,5.5835,bout start; spontaneous,2.9941999999999998
2012_04_25_0031,18,3026.17,31.2793,,3.02617
2012_04_25_0031,19,3051.28,39.8248,bout end,3.05128
2012_04_25_0031,20,3190.58,7.1788,bout start; spontaneous,3.19058
2012_04_25_0031,21,3220.4,33.5345,,3.2204
2012_04_25_0031,22,3247.79,36.5097,,3.24779
2012_04_25_0031,23,3274.36,37.6364,,3.27436
2012_04_25_0031,24,3307.22,30.4321,,3.30722
2012_04_25_0031,25,3338.74,31.7259,,3.33874
2012_04_25_0031,26,3374.76,27.7624,,3.37476
2012_04_25_0031,27,3408.28,29.8329,,3.4082800000000004
2012_04_25_0031,28,3440.04,31.4861,bout end,3.44004
2012_04_25_0031,29,4092.6,1.5324,bout start; spontaneous,4.0926
2012_04_25_0031,30,4121.16,35.014,,4.12116
2012_04_25_0031,31,4152.02,32.4044,,4.15202
2012_04_25_0031,32,4182.15,33.1895,,4.18215
2012_04_25_0031,33,4215.78,29.7354,,4.21578
2012_04_25_0031,34,4251.16,28.2646,,4.25116
2012_04_25_0031,35,4287.92,27.2035,,4.28792
2012_04_25_0031,36,4321.56,29.7265,,4.321560000000001
2012_04_25_0031,37,4356.33,28.7604,,4.35633
2012_04_25_0031,38,4390.35,29.3945,bout end,4.390350000000001
2012_04_25_0031,39,4593.69,4.9179,bout start; spontaneous,4.59369
2012_04_25_0031,40,4626.97,30.0481,,4.62697
2012_04_25_0031,41,4659.36,30.8737,,4.6593599999999995
2012_04_25_0031,42,4691.79,30.8356,,4.69179
2012_04_25_0031,43,4726.65,28.6862,,4.726649999999999
2012_04_25_0031,44,4759.38,30.553,,4.75938
2012_04_25_0031,45,4797.65,26.1301,,4.79765
2012_04_25_0031,46,4833.21,28.1215,bout end,4.83321
2012_04_25_0031,47,5045.47,4.7112,bout start; spontaneous,5.045470000000001
2012_04_25_0031,48,5077.89,30.8452,,5.07789
2012_04_25_0031,49,5109.5,31.6356,,5.1095
2012_04_25_0031,50,5144.82,28.3126,,5.14482
2012_04_25_0031,51,5175.96,32.113,,5.17596
2012_04_25_0031,52,5213.78,26.441,,5.21378
2012_04_25_0031,53,5253.85,24.9563,bout end,5.253850000000001
2012_04_25_0031,54,5519.95,3.758,bout start; spontaneous,5.51995
2012_04_25_0031,55,5553.59,29.7265,,5.553590000000001
2012_04_25_0031,56,5590.19,27.3224,,5.59019
2012_04_25_0031,57,5626.53,27.5179,,5.62653
2012_04_25_0031,58,5665.79,25.4712,,5.66579
2012_04_25_0031,59,5706.36,24.6488,,5.70636
2012_04_25_0031,60,5739.4,30.2663,bout end,5.7394
2012_04_25_0031,61,7176.81,0.6957,bout start; spontaneous,7.176810000000001
2012_04_25_0031,62,7202.97,38.2263,,7.2029700000000005
2012_04_25_0031,63,7237.02,29.3686,,7.23702
2012_04_25_0031,64,7269.78,30.525,,7.26978
2012_04_25_0031,65,7301.07,31.9591,,7.30107
2012_04_25_0031,66,7335.38,29.146,,7.335380000000001
2012_04_25_0031,67,7366.93,31.6957,bout end,7.366930000000001
2012_04_25_0031,68,7741.42,2.6703,bout start; spontaneous,7.741420000000001
2012_04_25_0031,69,7777.44,27.7624,,7.7774399999999995
