Trace name,ID,On time,Freq,Tags
2012_08_01_0009,1,2304.81,,bout start; shock
2012_08_01_0009,2,2332.9,35.5999,
2012_08_01_0009,3,2353.79,47.8698,
2012_08_01_0009,4,2384.38,32.6904,
2012_08_01_0009,5,2422.12,26.4971,
2012_08_01_0009,6,2462.4,24.8262,
2012_08_01_0009,7,2501.28,25.7202,
2012_08_01_0009,8,2542.44,24.2954,
2012_08_01_0009,9,2584.71,23.6574,
2012_08_01_0009,10,2629.73,22.2124,
2012_08_01_0009,11,2672.91,23.1589,
2012_08_01_0009,12,2718.46,21.9539,bout end
2012_08_01_0009,13,3570.98,1.173,bout start; spontaneous
2012_08_01_0009,14,3610.3,25.4323,
2012_08_01_0009,15,3652.76,23.5516,
2012_08_01_0009,16,3690.25,26.6738,
2012_08_01_0009,17,3730.81,24.6548,
2012_08_01_0009,18,3769.37,25.9336,
2012_08_01_0009,19,3807.83,26.001,bout end
2012_08_01_0009,20,4141.43,2.9976,bout start; spontaneous
2012_08_01_0009,21,4180.18,25.8065,
2012_08_01_0009,22,4225.24,22.1926,
2012_08_01_0009,23,4266.57,24.1955,
2012_08_01_0009,24,4306.39,25.113,
2012_08_01_0009,25,4352.55,21.6638,
2012_08_01_0009,26,4394.18,24.0211,bout end
2012_08_01_0009,27,5447.72,0.9492,bout start; spontaneous
2012_08_01_0009,28,5484.96,26.8528,
2012_08_01_0009,29,5522.74,26.469,
2012_08_01_0009,30,5563.48,24.5459,
2012_08_01_0009,31,5602.53,25.6082,
2012_08_01_0009,32,5642.34,25.1193,
2012_08_01_0009,33,5684.98,23.4522,
2012_08_01_0009,34,5725.18,24.8756,bout end
2012_08_01_0009,35,6710.61,1.0148,bout start; spontaneous
2012_08_01_0009,36,6753.8,23.1535,
2012_08_01_0009,37,6791.44,26.5675,
2012_08_01_0009,38,6838.68,21.1685,bout end
2012_08_01_0009,39,7820.21,1.0188,bout start; spontaneous
2012_08_01_0009,40,7845.81,39.0625,
2012_08_01_0009,41,7878.35,30.7314,
2012_08_01_0009,42,7917.06,25.8331,
2012_08_01_0009,43,7961.32,22.5938,
2012_08_01_0009,44,8001.84,24.6792,
2012_08_01_0009,45,8041.68,25.1004,bout end
2012_08_01_0009,46,9097.65,0.947,bout start; spontaneous
2012_08_01_0009,47,9124.21,37.6506,
2012_08_01_0009,48,9154.05,33.5121,
2012_08_01_0009,49,9185.39,31.9081,
2012_08_01_0009,50,9226.54,24.3013,
2012_08_01_0009,51,9267.81,24.2307,
2012_08_01_0009,52,9310.82,23.2504,
2012_08_01_0009,53,9354.83,22.7221,
2012_08_01_0009,54,9398.39,22.9568,bout end
