,Inhibitory,,,,,,,Excitatory,,,,,Statistics,,,,,,,,,,,,,,,,,,,,,,,Channel events,,,
,Trace name,ID,On time,Frequency,Swim description,,Trace name,ID,On time,Frequency,Swim description,,,Inhibitory Current,Inhibitory Charge,Normalized Inhibitory Current,Normalized Inhibitory Charge,,,,,,,,,,,,,,,,,,,Channel,On Time,Duration (in ms),Description
,2012_04_25_0004,1,1285.99,,bout start; shock,,2012_04_25_0000,1,4945.88,,bout start; shock,,Slope,12.35,15405.09967,0.016,0.01,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0004,2,1305.92,50.1756,,,2012_04_25_0000,2,4964.08,54.9451,,,Correlation coefficient,0.66,0.51,0.66,0.51,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0004,3,1340.95,28.547,,,2012_04_25_0000,3,4986.86,43.8982,,,P-value,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0004,4,1371.3,32.9489,,,2012_04_25_0000,4,5014.33,36.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0004,5,1405.23,29.4724,bout end,,2012_04_25_0000,5,5046.28,31.2989,,,,Excitatory Current,Excitatory Charge,Normalized Excitatory Current,Normalized Excitatory Charge,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,1,1933.41,,bout start; shock,,2012_04_25_0000,6,5075.7,33.9905,,,Slope,13,2824.14146,0.029,0.004,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,2,1955.98,44.3066,,,2012_04_25_0000,7,5108.83,30.1841,,,Correlation coefficient,0.48,0.1,0.48,0.1,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,3,1980.89,40.1445,,,2012_04_25_0000,8,5138.67,33.5121,,,P-value,0,0.48,0,0.48,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,4,2012.87,31.2695,,,2012_04_25_0000,9,5170.86,31.0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
