,Inhibitory,,,,,,Excitatory,,,,,,Statistics,,,,
,Trace name,ID,On time,Frequency,Swim description,,Trace name,ID,On time,Freq,Swim description,,,Inhibitory Current,Inhibitory Charge,Normalized Inhibitory Current,Normalized Inhibitory Charge
,2012_04_25_0030,1,3758.2,,bout start; shock,,2012_04_25_0027,1,4578.95,,bout start; shock,,Slope,26.33,33731.70525,0.023,0.02
,2012_04_25_0030,2,3778.68,48.8281,,,2012_04_25_0027,2,4603.9,40.0802,,,Correlation coefficient,0.45,0.41,0.45,0.41
,2012_04_25_0030,3,3812.75,29.3513,,,2012_04_25_0027,3,4629.87,38.506,,,P-value,0,0,0,0
,2012_04_25_0030,4,3841.89,34.3171,,,2012_04_25_0027,4,4655.5,39.0168,,,,,,,
,2012_04_25_0030,5,3871.09,34.2466,bout end,,2012_04_25_0027,5,4685.95,32.8407,,,,Excitatory Current,Excitatory Charge,Normalized Excitatory Current,Normalized Excitatory Charge
,2012_04_25_0031,1,1535.59,,bout start; shock,,2012_04_25_0027,6,4719.63,29.6912,bout end,,Slope,10,3696.116102,0.03,0.008
,2012_04_25_0031,2,1558.99,42.735,,,2012_04_25_0027,7,5419.22,1.4294,bout start; spontaneous,,Correlation coefficient,0.68,0.26,0.68,0.26
,2012_04_25_0031,3,1584.13,39.7772,,,2012_04_25_0027,8,5448.25,34.4471,,,P-value,0,0,0,0
,2012_04_25_0031,4,1613.45,34.1064,,,2012_04_25_0027,9,5476.91,34.8918,,,,,,,
,2012_04_25_0031,5,1643.77,32.9815,,,2012_04_25_0027,10,5506.14,34.2114,,,EPSC,Access Resistance (MOhm),Input Resitance,Membrane Capacitance (pFarad),
,2012_04_25_0031,6,1672.21,35.1617,,,2012_04_25_0027,11,5538.37,31.027,,,,,,,
,2012_04_25_0031,7,1700.79,34.9895,,,2012_04_25_0027,12,5569.94,31.6756,bout end,,2012_04_25_0027,47.84,167.06,3.65,
,2012_04_25_0031,8,1738.65,26.4131,bout end,,2012_04_25_0027,13,5799.13,4.3632,bout start; spontaneous,,2012_04_25_0028,45.45,149.29,3.73,
,2012_04_25_0031,9,2606.49,1.1523,bout start; shock,,2012_04_25_0027,14,5827.63,35.0877,,,2012_04_25_0029,48.4,155.52,3.86,
,2012_04_25_0031,10,2630.76,41.2031,,,2012_04_25_0027,15,5859.46,31.4169,,,,,157.29,,
,2012_04_25_0031,11,2652.38,46.2535,,,2012_04_25_0027,16,5888.7,34.1997,,,,,,,
,2012_04_25_0031,12,2682.09,33.6587,,,2012_04_25_0027,17,5919.21,32.7761,,,,,,,
,2012_04_25_0031,13,2717.84,27.972,,,2012_04_25_0027,18,5951.79,30.6937,,,,,,,
,2012_04_25_0031,14,2750.26,30.8452,,,2012_04_25_0027,19,5984.49,30.581,,,,,,,
,2012_04_25_0031,15,2787.11,27.137,,,2012_04_25_0027,20,6017.9,29.9312,,,,,,,
,2012_04_25_0031,16,2815.1,35.727,bout end,,2012_04_25_0027,21,6052.61,28.8101,bout end,,,,,,
,2012_04_25_0031,17,2994.2,5.5835,bout start; spontaneous,,2012_04_25_0027,22,6220.16,5.9684,bout start; spontaneous,,,,,,
,2012_04_25_0031,18,3026.17,31.2793,,,2012_04_25_0027,23,6251.54,31.8674,,,,,,,
,2012_04_25_0031,19,3051.28,39.8248,bout end,,2012_04_25_0027,24,6281.61,33.2557,,,,,,,
,2012_04_25_0031,20,3190.58,7.1788,bout start; spontaneous,,2012_04_25_0027,25,6311.07,33.9443,bout end,,,,,,
,2012_04_25_0031,21,3220.4,33.5345,,,2012_04_25_0027,26,6388.58,12.9016,bout start; spontaneous,,,,,,
,2012_04_25_0031,22,3247.79,36.5097,,,2012_04_25_0027,27,6413.05,40.8664,,,,,,,
,2012_04_25_0031,23,3274.36,37.6364,,,2012_04_25_0027,28,6439.88,37.2717,,,,,,,
,2012_04_25_0031,24,3307.22,30.4321,,,2012_04_25_0027,29,6467.65,36.0101,,,,,,,
,2012_04_25_0031,25,3338.74,31.7259,,,2012_04_25_0027,30,6499.59,31.3087,,,,,,,
,2012_04_25_0031,26,3374.76,27.7624,,,2012_04_25_0027,31,6535.04,28.2087,bout end,,,,,,
,2012_04_25_0031,27,3408.28,29.8329,,,2012_04_25_0027,32,7242.83,1.4128,bout start; spontaneous,,,,,,
,2012_04_25_0031,28,3440.04,31.4861,bout end,,2012_04_25_0027,33,7268.06,39.6354,,,,,,,
,2012_04_25_0031,29,4092.6,1.5324,bout start; spontaneous,,2012_04_25_0027,34,7300.08,31.2305,,,,,,,
,2012_04_25_0031,30,4121.16,35.014,,,2012_04_25_0027,35,7330.52,32.8515,,,,,,,
,2012_04_25_0031,31,4152.02,32.4044,,,2012_04_25_0027,36,7364.76,29.2056,,,,,,,
,2012_04_25_0031,32,4182.15,33.1895,,,2012_04_25_0027,37,7401.89,26.9324,,,,,,,
,2012_04_25_0031,33,4215.78,29.7354,,,2012_04_25_0027,38,7438.45,27.3523,,,,,,,
,2012_04_25_0031,34,4251.16,28.2646,,,2012_04_25_0027,39,7474.04,28.0978,,,,,,,
,2012_04_25_0031,35,4287.92,27.2035,,,2012_04_25_0027,40,7509.59,28.1294,,,,,,,
,2012_04_25_0031,36,4321.56,29.7265,,,2012_04_25_0027,41,7551.37,23.9349,,,,,,,
,2012_04_25_0031,37,4356.33,28.7604,,,2012_04_25_0027,42,7585.15,29.6033,,,,,,,
,2012_04_25_0031,38,4390.35,29.3945,bout end,,2012_04_25_0027,43,7627.04,23.872,bout end,,,,,,
,2012_04_25_0031,39,4593.69,4.9179,bout start; spontaneous,,2012_04_25_0027,44,7946.4,3.1313,buot start; spontaneous,,,,,,
,2012_04_25_0031,40,4626.97,30.0481,,,2012_04_25_0027,45,7977.6,32.0513,,,,,,,
,2012_04_25_0031,41,4659.36,30.8737,,,2012_04_25_0027,46,8008.57,32.2893,,,,,,,
,2012_04_25_0031,42,4691.79,30.8356,,,2012_04_25_0027,47,8042.4,29.5596,,,,,,,
,2012_04_25_0031,43,4726.65,28.6862,,,2012_04_25_0027,48,8080.11,26.5182,,,,,,,
,2012_04_25_0031,44,4759.38,30.553,,,2012_04_25_0027,49,8118.91,25.7732,,,,,,,
,2012_04_25_0031,45,4797.65,26.1301,,,2012_04_25_0027,50,8153.16,29.1971,,,,,,,
