speed_class,cell_type,vr_freq_cat,phase_values_for_norm_current,average_current,se_vchan,current_type
fast,V2aB,15,-0.5,0.6233769277187466,0.011007248860877146,inhibitory
fast,V2aB,15,-0.49,0.6167356481328415,0.010694508003251132,inhibitory
fast,V2aB,15,-0.48,0.6099854664511782,0.010373250138134107,inhibitory
fast,V2aB,15,-0.47,0.6005456538054716,0.010138819789937652,inhibitory
fast,V2aB,15,-0.46,0.5985004551525805,0.00992392304313818,inhibitory
fast,V2aB,15,-0.45,0.589104601175895,0.009668296388185858,inhibitory
fast,V2aB,15,-0.44,0.5789130580342481,0.009485613192481417,inhibitory
fast,V2aB,15,-0.43,0.5717457198637472,0.009386390255003383,inhibitory
fast,V2aB,15,-0.42,0.5652756782661251,0.00920635620669812,inhibitory
fast,V2aB,15,-0.41,0.5572474799794067,0.009091884054904725,inhibitory
fast,V2aB,15,-0.4,0.5463113394880402,0.008873142107509318,inhibitory
fast,V2aB,15,-0.39,0.5371808270403635,0.008774628464162456,inhibitory
fast,V2aB,15,-0.38,0.5262647657389515,0.008740619552229621,inhibitory
fast,V2aB,15,-0.37,0.5211100857269562,0.008759620493005677,inhibitory
fast,V2aB,15,-0.36,0.5122411072639376,0.008715253857536324,inhibitory
fast,V2aB,15,-0.35,0.4987686769735413,0.008585184049286479,inhibitory
fast,V2aB,15,-0.34,0.48790184115397955,0.008515579392438452,inhibitory
fast,V2aB,15,-0.33,0.4769925456330104,0.008443111458034733,inhibitory
fast,V2aB,15,-0.32,0.4658994962610185,0.008327631735089915,inhibitory
fast,V2aB,15,-0.31,0.45365105188884214,0.008219472098945363,inhibitory
fast,V2aB,15,-0.3,0.4433000963523765,0.008102863519913118,inhibitory
fast,V2aB,15,-0.29,0.4312397549282427,0.008016754073963957,inhibitory
fast,V2aB,15,-0.28,0.41804123481817645,0.00781702756227458,inhibitory
fast,V2aB,15,-0.27,0.4054904439274216,0.007775788044183324,inhibitory
fast,V2aB,15,-0.26,0.39568012732410324,0.007731697405963631,inhibitory
fast,V2aB,15,-0.25,0.38553735864264294,0.007632343586875969,inhibitory
fast,V2aB,15,-0.24,0.372651480236434,0.007581114780264553,inhibitory
fast,V2aB,15,-0.23,0.3536723111230478,0.0074034231807059035,inhibitory
fast,V2aB,15,-0.22,0.3449811969718667,0.00729189501005182,inhibitory
fast,V2aB,15,-0.21,0.33264642308563624,0.007171809636976509,inhibitory
fast,V2aB,15,-0.2,0.32211832444068006,0.007002879574063481,inhibitory
fast,V2aB,15,-0.19,0.31336297137791325,0.007047323980056355,inhibitory
fast,V2aB,15,-0.18,0.3015728057878175,0.0070971239976901695,inhibitory
fast,V2aB,15,-0.17,0.29252484762529823,0.0069635112005327765,inhibitory
fast,V2aB,15,-0.16,0.28808757360905046,0.007014149907208565,inhibitory
fast,V2aB,15,-0.15,0.2828253501987427,0.007190579673839599,inhibitory
fast,V2aB,15,-0.14,0.27274113889806345,0.0070270934704776584,inhibitory
fast,V2aB,15,-0.13,0.26423576884533606,0.00685022787737243,inhibitory
fast,V2aB,15,-0.12,0.25987084278360956,0.0068995712714151275,inhibitory
fast,V2aB,15,-0.11,0.24753512023904284,0.006841121343743672,inhibitory
fast,V2aB,15,-0.1,0.2381317686138097,0.006671632177749895,inhibitory
fast,V2aB,15,-0.09,0.23096408704934962,0.006570915135355584,inhibitory
fast,V2aB,15,-0.08,0.22430570846584538,0.006648942228137208,inhibitory
fast,V2aB,15,-0.07,0.22082274244978306,0.006836222640929123,inhibitory
fast,V2aB,15,-0.0599999999999999,0.216981876731286,0.0069401132912254755,inhibitory
fast,V2aB,15,-0.0499999999999999,0.21537251115720082,0.007023087354592479,inhibitory
fast,V2aB,15,-0.04,0.21378924761802598,0.007084095023752473,inhibitory
fast,V2aB,15,-0.03,0.21797233589846943,0.007074662444103973,inhibitory
fast,V2aB,15,-0.02,0.22010488224708474,0.0072716383574168274,inhibitory
fast,V2aB,15,-0.01,0.22920566627552053,0.007858346726476274,inhibitory
fast,V2aB,15,0,0.23985801607389126,0.008297536415804977,inhibitory
fast,V2aB,15,0.01,0.25233064477464506,0.00874283409303909,inhibitory
fast,V2aB,15,0.02,0.2637686894862204,0.008980881158255901,inhibitory
fast,V2aB,15,0.03,0.27736339260037524,0.009198768697619585,inhibitory
fast,V2aB,15,0.04,0.29410335170660284,0.009560772692804951,inhibitory
fast,V2aB,15,0.0499999999999999,0.3148957908760557,0.009860399680399666,inhibitory
fast,V2aB,15,0.0599999999999999,0.3304297862642016,0.01007704297159735,inhibitory
fast,V2aB,15,0.07,0.34851331151033527,0.010320820652528035,inhibitory
fast,V2aB,15,0.08,0.36118504695874953,0.010229729925293977,inhibitory
fast,V2aB,15,0.09,0.37083658367255823,0.010130607985777133,inhibitory
fast,V2aB,15,0.1,0.38092588060870747,0.010296226623302882,inhibitory
fast,V2aB,15,0.11,0.387014826584699,0.010348011318428293,inhibitory
fast,V2aB,15,0.12,0.39103251358257646,0.010156829419362365,inhibitory
fast,V2aB,15,0.13,0.39546421722502223,0.009955840214915516,inhibitory
fast,V2aB,15,0.14,0.4029791896772214,0.009945742997952355,inhibitory
fast,V2aB,15,0.15,0.40776872697587974,0.00980332003252234,inhibitory
fast,V2aB,15,0.16,0.4095381013220338,0.009634807350562914,inhibitory
fast,V2aB,15,0.17,0.41384854897409584,0.009419260082791314,inhibitory
fast,V2aB,15,0.18,0.41673126428091567,0.009275780131567716,inhibitory
fast,V2aB,15,0.19,0.42132500788006166,0.009253751401408584,inhibitory
fast,V2aB,15,0.2,0.41979035037126805,0.009253112805731031,inhibitory
fast,V2aB,15,0.21,0.4184026204425808,0.009194693800005363,inhibitory
fast,V2aB,15,0.22,0.4207024796845205,0.009141036212353928,inhibitory
fast,V2aB,15,0.23,0.42324595609016336,0.009208742951061213,inhibitory
fast,V2aB,15,0.24,0.41793216641445596,0.008967086629939862,inhibitory
fast,V2aB,15,0.25,0.4099741686436789,0.008963019965847538,inhibitory
fast,V2aB,15,0.26,0.41088115270016395,0.008989891391434508,inhibitory
fast,V2aB,15,0.27,0.40719790197257577,0.008914362257339804,inhibitory
fast,V2aB,15,0.28,0.4035461999132178,0.008763448394827551,inhibitory
fast,V2aB,15,0.29,0.3962543131657667,0.008644720844467829,inhibitory
fast,V2aB,15,0.3,0.38689403523993743,0.008480214997375378,inhibitory
fast,V2aB,15,0.31,0.384373402296897,0.008388347869959905,inhibitory
fast,V2aB,15,0.32,0.3818126262401113,0.008306981295998985,inhibitory
fast,V2aB,15,0.33,0.3826817436461878,0.008283421456691727,inhibitory
fast,V2aB,15,0.34,0.3826089280889963,0.008391798174457593,inhibitory
fast,V2aB,15,0.35,0.37864976240615994,0.008479727067974266,inhibitory
fast,V2aB,15,0.36,0.37994096601843946,0.008487266788054965,inhibitory
fast,V2aB,15,0.37,0.3784556541811412,0.008494927118403188,inhibitory
fast,V2aB,15,0.38,0.37733411210577494,0.008733947618193757,inhibitory
fast,V2aB,15,0.39,0.3818466990222948,0.008808769097713751,inhibitory
fast,V2aB,15,0.4,0.3794697022444497,0.008681915606566703,inhibitory
fast,V2aB,15,0.41,0.3782580922622067,0.00872098452151418,inhibitory
fast,V2aB,15,0.42,0.37459021964996253,0.008803573156832004,inhibitory
fast,V2aB,15,0.43,0.3747971209741046,0.009004655727991773,inhibitory
fast,V2aB,15,0.44,0.3740336156245807,0.009055259285665182,inhibitory
fast,V2aB,15,0.45,0.3751473835213271,0.009187984808550285,inhibitory
fast,V2aB,15,0.46,0.3769832397589158,0.009427087723592872,inhibitory
fast,V2aB,15,0.47,0.37765841260823696,0.009537433976397865,inhibitory
fast,V2aB,15,0.48,0.3773075050282938,0.00965428389286384,inhibitory
fast,V2aB,15,0.49,0.37213118784365445,0.009634115187556762,inhibitory
fast,V2aB,15,0.5,0.36618819291311233,0.00994011454103327,inhibitory
fast,V2aB,25,-0.5,0.6246817800318655,0.008570273877599552,inhibitory
fast,V2aB,25,-0.49,0.6227726468834459,0.00834071312992952,inhibitory
fast,V2aB,25,-0.48,0.6232994050273992,0.008146383785772312,inhibitory
fast,V2aB,25,-0.47,0.6248339168458561,0.008035165883097951,inhibitory
