Phase,Current,Normalized Current,Freq Bin,Signal Type,Speed
0.0095,313.77954,0.27770513,35–45,Inhibitory,slow
0.03,323.98288,0.30469668,35–45,Inhibitory,slow
0.05,337.55746,0.34351906,35–45,Inhibitory,slow
0.07,350.97964,0.38577685,35–45,Inhibitory,slow
0.09,358.38242,0.40614846,35–45,Inhibitory,slow
0.11,362.37787,0.4167174,35–45,Inhibitory,slow
0.13,367.97125,0.43061563,35–45,Inhibitory,slow
0.15000000000000002,370.6037,0.4427151,35–45,Inhibitory,slow
0.16999999999999998,372.48807,0.4483389,35–45,Inhibitory,slow
0.19,373.5971,0.44797337,35–45,Inhibitory,slow
0.21000000000000002,371.83432,0.444114,35–45,Inhibitory,slow
0.22999999999999998,372.439,0.44961527,35–45,Inhibitory,slow
0.25,373.87006,0.45299816,35–45,Inhibitory,slow
0.27,367.54288,0.43406665,35–45,Inhibitory,slow
0.29000000000000004,363.4125,0.42033818,35–45,Inhibitory,slow
0.31,360.23776,0.40994194,35–45,Inhibitory,slow
0.33,357.23398,0.40348122,35–45,Inhibitory,slow
0.35,354.82257,0.39824384,35–45,Inhibitory,slow
0.37,353.11542,0.38916233,35–45,Inhibitory,slow
0.39,355.55075,0.38777542,35–45,Inhibitory,slow
0.41000000000000003,360.72308,0.39622694,35–45,Inhibitory,slow
0.43,362.79108,0.40388966,35–45,Inhibitory,slow
0.45,365.55573,0.40939033,35–45,Inhibitory,slow
0.47,371.89493,0.42344514,35–45,Inhibitory,slow
0.49,381.22107,0.44468236,35–45,Inhibitory,slow
0.51,390.861,0.4664823,35–45,Inhibitory,slow
0.53,400.6776,0.4959193,35–45,Inhibitory,slow
0.55,406.38882,0.51396847,35–45,Inhibitory,slow
0.5700000000000001,411.81644,0.53364176,35–45,Inhibitory,slow
0.59,417.5611,0.5528025,35–45,Inhibitory,slow
0.61,419.87405,0.55831605,35–45,Inhibitory,slow
0.63,419.03455,0.5530769,35–45,Inhibitory,slow
0.65,413.45157,0.536034,35–45,Inhibitory,slow
0.67,408.90402,0.52459097,35–45,Inhibitory,slow
0.69,406.13596,0.5201295,35–45,Inhibitory,slow
0.71,403.86728,0.51438177,35–45,Inhibitory,slow
0.73,397.19965,0.4963455,35–45,Inhibitory,slow
0.75,390.04602,0.47105652,35–45,Inhibitory,slow
0.77,383.58627,0.4524788,35–45,Inhibitory,slow
0.79,377.2705,0.43821594,35–45,Inhibitory,slow
0.81,370.81546,0.42148808,35–45,Inhibitory,slow
0.83,363.6387,0.39757508,35–45,Inhibitory,slow
0.85,355.28796,0.3714447,35–45,Inhibitory,slow
0.87,347.8793,0.34762096,35–45,Inhibitory,slow
0.89,342.29047,0.32427022,35–45,Inhibitory,slow
0.91,336.23398,0.30258882,35–45,Inhibitory,slow
0.9299999999999999,330.6123,0.2828575,35–45,Inhibitory,slow
0.95,325.898,0.26261136,35–45,Inhibitory,slow
0.97,321.45786,0.24427857,35–45,Inhibitory,slow
0.99,319.2851,0.24193753,35–45,Inhibitory,slow
0.0095,347.6013,0.28242078,45+,Inhibitory,slow
0.03,360.11124,0.3185505,45+,Inhibitory,slow
0.05,371.52872,0.3440486,45+,Inhibitory,slow
0.07,381.50607,0.36661342,45+,Inhibitory,slow
0.09,389.7092,0.39576232,45+,Inhibitory,slow
0.11,399.7014,0.43256912,45+,Inhibitory,slow
0.13,403.93982,0.45417112,45+,Inhibitory,slow
0.15000000000000002,406.46597,0.4566286,45+,Inhibitory,slow
0.16999999999999998,414.26364,0.48086697,45+,Inhibitory,slow
0.19,417.86716,0.48725337,45+,Inhibitory,slow
0.21000000000000002,419.50638,0.48510382,45+,Inhibitory,slow
0.22999999999999998,413.5058,0.46826527,45+,Inhibitory,slow
0.25,411.57526,0.4689572,45+,Inhibitory,slow
0.27,411.7534,0.46422687,45+,Inhibitory,slow
0.29000000000000004,419.09116,0.48139352,45+,Inhibitory,slow
0.31,428.67615,0.49695057,45+,Inhibitory,slow
0.33,433.11508,0.5039763,45+,Inhibitory,slow
0.35,438.82834,0.507152,45+,Inhibitory,slow
0.37,441.21335,0.51129824,45+,Inhibitory,slow
0.39,440.47784,0.5037241,45+,Inhibitory,slow
0.41000000000000003,441.6692,0.4998163,45+,Inhibitory,slow
0.43,441.03442,0.49750945,45+,Inhibitory,slow
0.45,442.7576,0.50006306,45+,Inhibitory,slow
0.47,448.88733,0.50459087,45+,Inhibitory,slow
0.49,453.35132,0.5097531,45+,Inhibitory,slow
0.51,454.2141,0.51147157,45+,Inhibitory,slow
0.53,455.26663,0.51295495,45+,Inhibitory,slow
0.55,457.95728,0.5222553,45+,Inhibitory,slow
0.5700000000000001,458.31488,0.51888144,45+,Inhibitory,slow
0.59,463.51657,0.5278543,45+,Inhibitory,slow
0.61,471.42648,0.5468088,45+,Inhibitory,slow
0.63,474.66357,0.56436706,45+,Inhibitory,slow
0.65,477.88467,0.5697248,45+,Inhibitory,slow
0.67,473.7929,0.5503043,45+,Inhibitory,slow
0.69,467.2261,0.5360466,45+,Inhibitory,slow
0.71,462.54318,0.52037627,45+,Inhibitory,slow
0.73,458.84854,0.50793517,45+,Inhibitory,slow
0.75,452.09338,0.49221736,45+,Inhibitory,slow
0.77,444.2939,0.46865022,45+,Inhibitory,slow
0.79,437.16977,0.44794756,45+,Inhibitory,slow
0.81,430.6738,0.43017027,45+,Inhibitory,slow
0.83,426.02335,0.4157072,45+,Inhibitory,slow
0.85,418.33502,0.3871995,45+,Inhibitory,slow
0.87,411.07697,0.36574408,45+,Inhibitory,slow
0.89,403.63242,0.35173497,45+,Inhibitory,slow
0.91,398.4857,0.340583,45+,Inhibitory,slow
0.9299999999999999,392.50696,0.3321829,45+,Inhibitory,slow
0.95,386.6,0.31953543,45+,Inhibitory,slow
0.97,382.32608,0.29986227,45+,Inhibitory,slow
0.99,380.56137,0.29200703,45+,Inhibitory,slow
0.0095,132.8667,0.36115432,25–35,Inhibitory,slow
