Cell,Motoneuron,Cell Type,Input Resistance,mean,median,min,max,total_spikes
2012_08_01_cell1,Low Rin Secondary ,vSMN,287.0,24.97,24.52,18.47,38.55,41
2012_08_01_cell3,primary,MiP,49.99,42.55,42.84,29.46,52.69,65
2012_08_07,Low Rin Secondary ,vSMN,219.0,29.31,31.48,10.54,38.93,67
2012_08_31_cell1,primary,MiP,45.33,39.28,38.4,26.93,52.55,64
2012_08_31_cell2,primary,vRoP,44.77,38.21,39.15,24.64,48.71,69
2012_08_31_cell3,primary,MiP,46.67,42.15,41.53,33.76,54.32,20
2012_08_31_cell4,Low Rin Secondary ,dSMN,242.57,41.09,36.93,31.41,53.5,17
2012_10_04_cell2,Low Rin Secondary ,dSMN,340.01,37.01,38.27,24.81,52.97,83
2012_12_03_cell1,High Rin Secondary,iSMN,830.0,28.02,26.69,19.99,51.63,465
2012_12_04_cell1,High Rin Secondary,vSMN,393.0,34.24,32.01,25.84,73.1,100
2012_12_05_cell1,Low Rin Secondary ,dSMN,264.97,45.56,45.43,31.29,67.34,47
2012_12_05_cell3,High Rin Secondary,vSMN,815.69,24.59,24.26,19.05,41.6,280
2012_12_05_cell4,High Rin Secondary,vSMN ,440.84,26.05,25.48,20.76,46.69,698
2012_12_06_cell1,primary,vRoP,112.0,39.1,40.07,29.65,54.02,46
2012_12_06_cell4,High Rin Secondary,iSMN (dorsal) muscle,861.9,28.68,27.35,17.14,53.05,169
2013_03_20_cell1,primary,MiP,51.1,42.2,41.6,39.82,45.96,11
2013_03_21_cell1,primary,MiP,56.77,32.24,30.12,23.78,89.13,25
2013_03_21_cell3,primary,MiP,60.1,26.4,26.15,20.76,38.97,34
2013_03_21_cell4,primary,MiP,47.15,29.02,27.24,12.48,52.33,10
2013_03_21_cell5,primary,CaP,33.0,32.56,31.4,25.09,43.12,35
2013_03_22_cell1,primary,CaP,51.0,36.36,36.78,25.97,46.97,45
2013_03_22_cell2,primary,CaP,43.64,40.27,39.71,31.06,55.71,41
2013_03_22_cell4,primary,dRoP,114.0,41.1,41.29,24.24,50.3,72
2013_03_22_cell5,Low Rin Secondary ,dVS,112.85,40.09,39.48,36.46,42.63,18
2013_03_22_cell6,primary,vRoP,42.0,55.09,50.35,40.8,108.93,37
