,Freq Bin,Cell Type_1,Cell Type_2,t_stat,p_value,p_value_corrected,significant
0,20-30,CaP,vRoP,-12.141531281752263,2.892580653228143e-32,5.785161306456286e-31,True
1,20-30,CaP,MiP,-19.00055901226178,2.2445783249532687e-75,4.4891566499065375e-74,True
2,20-30,CaP,dRoP,0.5427469703123113,0.5873784571640284,1.0,False
3,20-30,vRoP,MiP,-3.534603942939902,0.00042510661563434035,0.008502132312686806,False
4,20-30,vRoP,dRoP,13.089090213662995,2.1699951628633035e-36,4.339990325726607e-35,True
5,20-30,MiP,dRoP,20.750230399913534,9.125233386793668e-84,1.8250466773587336e-82,True
6,30-40,CaP,vRoP,3.6539211430060146,0.00031479425311200376,0.006295885062240075,False
7,30-40,CaP,MiP,0.21476154119245958,0.8301210258762618,1.0,False
8,30-40,CaP,dRoP,2.316169810734406,0.02119620149882853,0.4239240299765706,False
9,30-40,vRoP,MiP,-5.160257532472487,2.999921899646986e-07,5.999843799293972e-06,True
10,30-40,vRoP,dRoP,-1.1351849224501043,0.2571889510147265,1.0,False
11,30-40,MiP,dRoP,2.787711193084884,0.0056261334910775816,0.11252266982155162,False
0,30-40,dVS,vSMN,1.4787534908910325,0.1421381263035112,1.0,False
1,30-40,dVS,dSMN,0.8014821018123987,0.42450445079928767,1.0,False
2,30-40,vSMN,dSMN,-1.1711953227152463,0.24490724417945678,1.0,False
3,20-30,dVS,vSMN,-8.795612825056457,4.584751230913918e-17,9.169502461827835e-16,True
4,20-30,dVS,dSMN,-3.9902310411651656,9.30745196134538e-05,0.0018614903922690759,False
5,20-30,vSMN,dSMN,3.902478369289675,0.0001215256156539684,0.002430512313079368,False
0,20-30,iSMN,vSMN,10.185308209653744,1.2090006866286715e-23,2.418001373257343e-22,True
1,30-40,iSMN,vSMN,7.980818594193814,6.533205031792883e-15,1.3066410063585767e-13,True
