Freq Bin,Rin group,Cell Type_1,Cell Type_2,T2_stat,F_stat,p_value
20-30,primary,CaP,vRoP,136.06878190803928,45.30685294468846,1.1102230246251565e-16
20-30,primary,CaP,MiP,376.6014210921637,125.44474437940465,1.1102230246251565e-16
20-30,primary,CaP,dRoP,1347.248663071215,448.58223787135216,1.1102230246251565e-16
20-30,primary,vRoP,MiP,12.727212514612255,4.238459583744264,0.005380152403867133
20-30,primary,vRoP,dRoP,1476.2266311321168,491.2015196543811,1.1102230246251565e-16
20-30,primary,MiP,dRoP,2059.2225253896336,685.7565767339904,1.1102230246251565e-16
20-30,Low Rin Secondary ,dVS,vSMN,995.5944908001414,330.17164235718974,1.1102230246251565e-16
20-30,Low Rin Secondary ,dVS,dSMN,37.15262011394233,12.284334069932546,1.6235929689578654e-07
20-30,Low Rin Secondary ,vSMN,dSMN,442.2057974095624,146.54494449037824,1.1102230246251565e-16
20-30,High Rin Secondary,iSMN,vSMN,951.8571415366689,316.9241346844787,1.1102230246251565e-16
30-40,primary,CaP,vRoP,249.0447192325149,82.79730508341802,1.1102230246251565e-16
30-40,primary,CaP,MiP,90.150603129844,29.94567860486992,1.1102230246251565e-16
30-40,primary,CaP,dRoP,277.83385817368577,92.04311865876706,1.1102230246251565e-16
30-40,primary,vRoP,MiP,51.87854983053182,17.258875778592117,6.17491613397192e-11
30-40,primary,vRoP,dRoP,37.4681513734502,12.456901648650327,5.83460217917775e-08
30-40,primary,MiP,dRoP,50.29515683001725,16.7073412533448,2.01638483687816e-10
30-40,Low Rin Secondary ,dVS,vSMN,92.43680717974254,30.395887045591017,2.55351295663786e-15
30-40,Low Rin Secondary ,dVS,dSMN,3.6318866466880575,1.2049584893383485,0.30754498258524454
30-40,Low Rin Secondary ,vSMN,dSMN,136.49491599023153,45.28419565793564,1.1102230246251565e-16
30-40,High Rin Secondary,iSMN,vSMN,146.74703476801363,48.76631740636789,1.1102230246251565e-16
