Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_06_29_0005,1,2791.36,,bout start; spontaneous,Inhibitory,2.79136
2012_06_29_0005,2,2831.9,24.667,,Inhibitory,2.8319
2012_06_29_0005,3,2869.61,26.5182,,Inhibitory,2.86961
2012_06_29_0005,4,2905.43,27.9174,,Inhibitory,2.90543
2012_06_29_0005,5,2943.0,26.617,,Inhibitory,2.943
2012_06_29_0005,6,2978.79,27.9408,,Inhibitory,2.97879
2012_06_29_0005,7,3016.72,26.3644,,Inhibitory,3.01672
2012_06_29_0005,8,3050.94,29.2227,,Inhibitory,3.05094
2012_06_29_0005,9,3083.47,30.7409,bout end,Inhibitory,3.0834699999999997
2012_06_29_0005,10,3780.95,1.4337,bout start; spontaneous,Inhibitory,3.78095
2012_06_29_0005,11,3818.45,26.6667,,Inhibitory,3.81845
2012_06_29_0005,12,3848.51,33.2668,,Inhibitory,3.84851
2012_06_29_0005,13,3880.97,30.8071,,Inhibitory,3.88097
2012_06_29_0005,14,3918.47,26.6667,,Inhibitory,3.9184699999999997
2012_06_29_0005,15,3956.83,26.0688,,Inhibitory,3.95683
2012_06_29_0005,16,3993.57,27.2183,,Inhibitory,3.99357
2012_06_29_0005,17,4031.43,26.4131,,Inhibitory,4.03143
2012_06_29_0005,18,4069.0,26.617,,Inhibitory,4.069
2012_06_29_0005,19,4105.68,27.2628,bout end,Inhibitory,4.10568
2012_06_29_0005,20,4700.16,1.6821,bout start; spontaneous,Inhibitory,4.70016
2012_06_29_0005,21,4730.12,33.3778,,Inhibitory,4.73012
2012_06_29_0005,22,4759.18,34.4116,,Inhibitory,4.759180000000001
2012_06_29_0005,23,4789.43,33.0579,,Inhibitory,4.78943
2012_06_29_0005,24,4824.11,28.8351,,Inhibitory,4.82411
2012_06_29_0005,25,4863.49,25.3936,,Inhibitory,4.86349
2012_06_29_0005,26,4900.65,26.9107,,Inhibitory,4.90065
2012_06_29_0005,27,4939.63,25.6542,,Inhibitory,4.93963
2012_06_29_0005,28,4980.47,24.4858,,Inhibitory,4.98047
2012_06_29_0005,29,5014.37,29.4985,,Inhibitory,5.01437
2012_06_29_0005,30,5051.77,26.738,,Inhibitory,5.05177
2012_06_29_0005,31,5087.96,27.6319,,Inhibitory,5.08796
2012_06_29_0005,32,5123.53,28.1136,bout end,Inhibitory,5.12353
2012_06_29_0005,33,6136.57,0.9871,bout start; spontaneous,Inhibitory,6.13657
2012_06_29_0005,34,6167.14,32.7118,,Inhibitory,6.167140000000001
2012_06_29_0005,35,6193.89,37.3832,,Inhibitory,6.193890000000001
2012_06_29_0005,36,6217.56,42.2476,,Inhibitory,6.217560000000001
2012_06_29_0005,37,6244.7,36.846,,Inhibitory,6.2447
2012_06_29_0005,38,6280.79,27.7085,,Inhibitory,6.28079
2012_06_29_0005,39,6318.78,26.3227,,Inhibitory,6.31878
2012_06_29_0005,40,6358.2,25.3678,,Inhibitory,6.3582
2012_06_29_0005,41,6393.83,28.0662,,Inhibitory,6.39383
2012_06_29_0005,42,6430.04,27.6167,,Inhibitory,6.43004
2012_06_29_0005,43,6465.55,28.1611,,Inhibitory,6.46555
2012_06_29_0005,44,6501.93,27.4876,,Inhibitory,6.501930000000001
2012_06_29_0005,45,6536.13,29.2398,,Inhibitory,6.53613
2012_06_29_0005,46,6571.25,28.4738,,Inhibitory,6.57125
2012_06_29_0005,47,6608.02,27.1961,,Inhibitory,6.608020000000001
2012_06_29_0005,48,6642.68,28.8517,,Inhibitory,6.64268
2012_06_29_0005,49,6678.71,27.7546,bout end,Inhibitory,6.678710000000001
2012_06_29_0005,50,7276.33,1.6733,bout start; spontaneous,Inhibitory,7.27633
2012_06_29_0005,51,7311.52,28.4172,,Inhibitory,7.311520000000001
2012_06_29_0005,52,7342.04,32.7654,,Inhibitory,7.34204
2012_06_29_0005,53,7373.7,31.5856,,Inhibitory,7.3737
2012_06_29_0005,54,7412.92,25.4972,,Inhibitory,7.412920000000001
2012_06_29_0005,55,7452.52,25.2525,,Inhibitory,7.452520000000001
2012_06_29_0005,56,7489.28,27.2035,,Inhibitory,7.48928
2012_06_29_0005,57,7524.88,28.0899,,Inhibitory,7.5248800000000005
2012_06_29_0005,58,7563.94,25.6016,bout end,Inhibitory,7.56394
2012_06_29_0005,59,8233.8,1.4928,bout start; spontaneous,Inhibitory,8.233799999999999
2012_06_29_0005,60,8262.04,35.4108,,Inhibitory,8.26204
2012_06_29_0005,61,8286.38,41.0846,,Inhibitory,8.28638
2012_06_29_0005,62,8309.32,43.592,,Inhibitory,8.30932
2012_06_29_0005,63,8345.0,28.0269,,Inhibitory,8.345
2012_06_29_0005,64,8380.94,27.8242,,Inhibitory,8.38094
2012_06_29_0005,65,8422.79,23.8949,,Inhibitory,8.42279
2012_06_29_0005,66,8461.04,26.1438,,Inhibitory,8.46104
2012_06_29_0005,67,8495.81,28.7604,,Inhibitory,8.49581
2012_06_29_0005,68,8533.72,26.3783,,Inhibitory,8.533719999999999
2012_06_29_0005,69,8571.66,26.3574,,Inhibitory,8.57166
2012_06_29_0005,70,8608.24,27.3373,,Inhibitory,8.60824
2012_06_29_0005,71,8644.55,27.5406,,Inhibitory,8.644549999999999
2012_06_29_0005,72,8682.03,26.6809,bout end,Inhibitory,8.682030000000001
2012_06_29_0005,73,9397.89,1.3969,bout start; spontaneous,Inhibitory,9.39789
2012_06_29_0005,74,9425.02,36.8596,,Inhibitory,9.42502
2012_06_29_0005,75,9461.47,27.4348,,Inhibitory,9.46147
2012_06_29_0005,76,9499.33,26.4131,,Inhibitory,9.49933
2012_06_29_0005,77,9534.81,28.1849,,Inhibitory,9.53481
2012_06_29_0005,78,9572.61,26.455,,Inhibitory,9.572610000000001
2012_06_29_0005,79,9609.86,26.8456,,Inhibitory,9.609860000000001
2012_06_29_0005,80,9645.97,27.6932,,Inhibitory,9.64597
2012_06_29_0005,81,9684.28,26.1028,,Inhibitory,9.684280000000001
2012_06_29_0005,82,9719.8,28.1532,,Inhibitory,9.7198
2012_06_29_0005,83,9757.23,26.7165,,Inhibitory,9.75723
2012_06_29_0005,84,9795.07,26.4271,bout end,Inhibitory,9.795069999999999
2012_06_29_0006,1,1315.06,,bout start; spontaneous,Inhibitory,1.31506
2012_06_29_0006,2,1349.45,29.0782,,Inhibitory,1.34945
2012_06_29_0006,3,1384.25,28.7356,,Inhibitory,1.38425
2012_06_29_0006,4,1422.24,26.3227,,Inhibitory,1.42224
2012_06_29_0006,5,1460.65,26.0349,,Inhibitory,1.4606500000000002
2012_06_29_0006,6,1495.19,28.9519,,Inhibitory,1.49519
2012_06_29_0006,7,1532.47,26.824,,Inhibitory,1.53247
2012_06_29_0006,8,1568.76,27.5558,,Inhibitory,1.56876
2012_06_29_0006,9,1605.41,27.2851,,Inhibitory,1.6054100000000002
2012_06_29_0006,10,1642.36,27.0636,,Inhibitory,1.64236
2012_06_29_0006,11,1677.5,28.4576,bout end,Inhibitory,1.6775
2012_06_29_0006,12,1716.25,25.8065,bout start; shock,Inhibitory,1.71625
