Cell,currents,vrb,group,cell attached,Cell Type,Input Resistance,mean,median,min,max,total spikes,tags
2012_08_01_cell1,0,1,Low Rin Secondary ,,vSMN,287,24.97,24.52,18.47,38.55,41,yes
2012_08_01_cell3,0,1,Primary,,MiP,49.99,42.55,42.84,29.46,52.69,65,yes
2012_08_07,0,1,Low Rin Secondary ,,vSMN,219,24.88,28.92,0.38,38.93,81,no
2012_08_31_cell1,1,2,Primary,,MiP,45.33,39.28,38.4,26.93,52.55,64,yes
2012_08_31_cell2,0,2,Primary,,vRoP,44.77,38.21,39.15,24.64,48.71,69,yes
2012_08_31_cell3,0,2,Primary,,MiP,46.67,42.15,41.53,33.76,54.32,20,yes
2012_08_31_cell4,0,2,Low Rin Secondary ,,dSMN,242.57,41.09,36.93,31.41,53.5,17,yes
2012_10_04_cell1,0,2,not labeled,,,,43.43,49.56,0.26,68.97,174,no
2012_10_04_cell2,0,2,Low Rin Secondary ,,dSMN,340.01,37.01,38.27,24.81,52.97,83,yes
2012_12_03_cell1,0,2,High Rin Secondary ,,iSMN,830,28.02,26.69,19.99,51.63,465,yes
2012_12_04_cell1,0,1,High Rin Secondary ,,vSMN,393,34.24,32.01,25.84,73.1,100,yes
2012_12_04_cell2,0,1,not labeled,,,,36.94,38.34,24.32,43.73,83,yes
2012_12_05_cell1,0,1,Low Rin Secondary ,,dSMN,264.97,45.56,45.43,31.29,67.34,47,yes
2012_12_05_cell3,0,1,High Rin Secondary ,,vSMN,815.69,24.59,24.26,19.05,41.6,280,yes
2012_12_05_cell4,0,1,High Rin Secondary ,,vSMN ,440.84,26,25.48,9.1,46.69,700,yes
2012_12_06_cell1,0,1,Primary,,vRoP,112,39.1,40.07,29.65,54.02,46,yes
2012_12_06_cell2,0,1,not labeled,,,,29.45,27.65,21.29,60.06,195,yes
2012_12_06_cell3,0,1,not labeled,,,,24.71,23.31,15.62,53.71,70,yes
2012_12_06_cell4,0,1,High Rin Secondary ,,iSMN (dorsal) muscle,861.9,28.68,27.35,17.14,53.05,169,yes
2012_12_06_cell5,0,1,not labeled,,,,40.81,41.68,28.39,80.13,40,yes
2012_12_06_cell6,0,1,not labeled,,,,39.63,39.35,34.9,45.87,12,yes
2013_03_20_cell1,0,1,Primary,,MiP,51.1,42.2,41.6,39.82,45.96,11,yes
2013_03_21_cell1,0,1,Primary,,MiP,56.77,32.24,30.12,23.78,89.13,25,yes
2013_03_21_cell2,0,1,not labeled,,,,34.53,34.05,29.59,41.56,25,yes
2013_03_21_cell3,0,1,Primary,,MiP,60.1,26.4,26.15,20.76,38.97,34,yes
2013_03_21_cell4,0,1,Primary,,MiP,47.15,13.09,2.34,0.11,52.33,25,no
2013_03_21_cell5,0,1,Primary,,CaP,33,32.56,31.4,25.09,43.12,35,yes
2013_03_22_cell1,0,1,Primary,,CaP,51,36.36,36.78,25.97,46.97,45,yes
2013_03_22_cell2,0,1,Primary,,CaP,43.64,40.27,39.71,31.06,55.71,41,yes
2013_03_22_cell4,0,1,Primary,,dRoP,114,41.1,41.29,24.24,50.3,72,yes
2013_03_22_cell5,0,1,Low Rin Secondary ,,dVS,112.85,40.09,39.48,36.46,42.63,18,yes
2013_03_22_cell6,0,1,Primary,,vRoP,42,55.09,50.35,40.8,108.93,37,yes
